compatibilizer_pct,filler_pct,process_temp_C,cooling_rate_Cmin,rPP_frac,rPE_frac,antioxidant_pct,screw_speed_rpm,E_sim_MPa,sigma_sim_MPa,score
4.5,18.0,175.0,8.0,0.65,0.35,0.4,150.0,1649.0343869999997,28.976804999999995,30.625839386999996
4.5,18.0,175.0,35.0,0.65,0.35,0.4,150.0,1649.0343869999997,28.976804999999995,30.625839386999996
4.5,2.0,175.0,35.0,0.65,0.35,0.4,150.0,1290.332043,28.976804999999995,30.267137042999995
4.5,2.0,175.0,8.0,0.65,0.35,0.4,150.0,1290.332043,28.976804999999995,30.267137042999995
0.5,18.0,175.0,35.0,0.65,0.35,0.4,150.0,1610.4980429999996,28.299644999999995,29.910143042999994
0.5,18.0,175.0,8.0,0.65,0.35,0.4,150.0,1610.4980429999996,28.299644999999995,29.910143042999994
0.5,2.0,175.0,8.0,0.65,0.35,0.4,150.0,1260.178227,28.299644999999995,29.559823226999995
0.5,2.0,175.0,35.0,0.65,0.35,0.4,150.0,1260.178227,28.299644999999995,29.559823226999995
4.5,18.0,215.0,8.0,0.65,0.35,0.4,150.0,1515.779083,26.635244999999998,28.151024082999996
4.5,18.0,215.0,35.0,0.65,0.35,0.4,150.0,1515.779083,26.635244999999998,28.151024082999996
4.5,2.0,215.0,35.0,0.65,0.35,0.4,150.0,1186.062787,26.635244999999998,27.821307787
4.5,2.0,215.0,8.0,0.65,0.35,0.4,150.0,1186.062787,26.635244999999998,27.821307787
0.5,18.0,215.0,35.0,0.65,0.35,0.4,150.0,1480.3567869999997,26.012804999999997,27.493161786999995
0.5,18.0,215.0,8.0,0.65,0.35,0.4,150.0,1480.3567869999997,26.012804999999997,27.493161786999995
0.5,2.0,215.0,8.0,0.65,0.35,0.4,150.0,1158.345643,26.012804999999997,27.171150642999997
0.5,2.0,215.0,35.0,0.65,0.35,0.4,150.0,1158.345643,26.012804999999997,27.171150642999997
